station,lat,lon
ORANGEVILLE,43.92,-80.08
OTTAWA,45.38,-75.72
OWEN SOUND,44.58,-80.93
PETERBOROUGH,44.23,-78.37
PICKLE LAKE,51.45,-90.22
RED LAKE,51.07,-93.8
RIDGETOWN,42.45,-81.88
SAULT STE MARIE,46.48,-84.52
SIOUX LOOKOUT,50.12,-91.9
SMOKY FALLS,50.07,-82.17
SUDBURY,46.62,-80.8
THUNDER BAY,48.37,-89.33
TIMMINS,48.57,-81.38
TORONTO,43.67,-79.4
VINELAND,43.18,-79.68
WAWA,47.97,-84.78
WELLAND,43,-79.27
WINDSOR,42.27,-82.97
WOODSTOCK,43.13,-80.77
AMOS,48.57,-78.13
BAGOTVILLE,48.33,-71
BAIE COMEAU,49.13,-68.2
BEAUCEVILLE,46.15,-70.7
BELLETERRE,47.38,-78.7
BROME,45.18,-72.57
CAUSAPSCAL,48.37,-67.23
CHELSEA,45.52,-75.78
CHIBOUGAMAU,49.77,-74.53
DONNACONA,46.68,-71.73
DRUMMONDVILLE,45.88,-72.48
GASPE,48.78,-64.48
ILES MADELEINE,47.42,-61.78
INUKJUAK,58.47,-78.08
JOLIETTE,46.02,-73.43
KUUJJUAQ,58.1,-68.42
KUUJJUARAPIK,55.28,-77.75
LA POCATIERE,47.35,-70.03
LA SARRE,48.78,-79.22
LA TUQUE,47.4,-72.78
LABRIEVILLE,49.3,-69.55
LEBEL QUEVILLON,49.05,-76.97
LENNOXVILLE,45.37,-71.82
LES CEDRES,45.3,-74.05
MANIWAKI,46.3,-76
MONT JOLI,48.6,-68.2
MONT LAURIER,46.57,-75.55
MONTREAL TAVISH,45.47,-73.75
NATASHQUAN,50.18,-61.82
NICOLET,46.2,-72.62
NORMANDIN,48.85,-72.53
PARENT,47.92,-74.62
QUAQTAQ,61.05,-69.63
QUEBEC,46.8,-71.38
ROBERVAL,48.52,-72.27
SCHEFFERVILLE,54.8,-66.82
SEPT-ILES,50.22,-66.27
SHEENBOROUGH,45.95,-77.32
ST JEROME,45.8,-74.05
STEROSE DEGELIS,47.57,-68.63
TADOUSSAC,48.15,-69.7
TEMISCAMINGUE,46.72,-79.1
TETE BALEINE,50.7,-59.32
THETFORD MINES,46.1,-71.35
VAL D'OR,48.05,-77.78
VILLE MARIE,47.35,-79.43
AROOSTOOK,46.8,-67.72
BATHURST,47.63,-65.75
CHATHAM MIRA.,47.02,-65.47
DOAKTOWN,46.55,-66.15
EDMUNDSTON,47.33,-68.18
FREDERICTON,45.87,-66.53
MONCTON,46.1,-64.68
REXTON,46.67,-64.87
SAINT JOHN,45.32,-65.88
SUSSEX,45.72,-65.53
WOODSTOCK,46.17,-67.55
ANNAPOLIS ROYAL,44.75,-65.52
COLLEGEVILLE,45.48,-62.02
DEMING,45.22,-61.18
GREENWOOD,44.98,-64.92
HALIFAX,44.65,-63.58
KENTVILLE,45.07,-64.48
LIVERPOOL,44.13,-64.93
NAPPAN,45.77,-64.25
PARRSBORO,45.4,-64.33
SABLE ISLAND,43.93,-60.02
SYDNEY,46.17,-60.05
UPPER STEWIACKE,45.22,-63
YARMOUTH,43.83,-66.08
CHARLOTTETOWN,46.28,-63.13
MONTICELLO,46.47,-62.47
SUMMERSIDE,46.43,-63.83
BATTLE HARBOUR,52.25,-55.6
BAY D'ESPOIR,47.98,-55.8
CARTWRIGHT,53.72,-57.03
CHURCHILL FALLS,53.55,-64.1
CORNER BROOK,48.95,-57.95
DANIELS HARBOUR,50.23,-57.58
DEER LAKE,49.22,-57.4
EXPLOITS DAM,48.77,-56.6
GANDER,48.95,-54.58
GOOSE,53.32,-60.42
GRAND FALLS,48.93,-55.67
HOPEDALE,55.45,-60.22
NAIN,56.55,-61.68
PLUM POINT,51.07,-56.88
PORT AUXBASQUES,47.58,-58.97
ST ANTHONY,51.37,-55.6
ST JOHN'S,47.62,-52.75
STEPHENVILLE,48.53,-58.55
WABUSH LAKE,52.93,-66.87
